,q0001,q0002,q0009,q0025,q0026,q0028,q0029
163,1.0,0.6666666666666666,1,0,1.0,0,0.3333333333333333
164,0.3333333333333333,0.3333333333333333,1,1,1.0,0,0.3333333333333333
165,0.6666666666666666,0.6666666666666666,0,1,1.0,0,0.6666666666666666
166,1.0,0.0,1,1,1.0,0,0.6666666666666666
167,0.6666666666666666,0.0,0,0,1.0,0,0.3333333333333333
170,0.6666666666666666,0.6666666666666666,0,0,1.0,1,0.3333333333333333
171,0.6666666666666666,0.6666666666666666,1,0,1.0,0,1.0
172,0.6666666666666666,0.3333333333333333,0,0,0.5,1,1.0
173,1.0,0.3333333333333333,0,1,1.0,1,1.0
176,0.6666666666666666,0.6666666666666666,1,0,1.0,1,0.3333333333333333
177,0.0,0.6666666666666666,1,0,0.0,1,0.6666666666666666
178,0.6666666666666666,0.3333333333333333,1,0,0.5,1,0.6666666666666666
179,0.6666666666666666,0.0,1,1,1.0,0,1.0
180,0.6666666666666666,0.3333333333333333,1,1,1.0,1,0.6666666666666666
181,0.6666666666666666,0.3333333333333333,1,1,1.0,1,0.6666666666666666
182,1.0,0.6666666666666666,1,0,1.0,1,0.3333333333333333
183,1.0,0.0,1,0,0.0,1,0.3333333333333333
184,1.0,0.6666666666666666,1,1,1.0,1,0.3333333333333333
185,0.6666666666666666,0.6666666666666666,0,1,1.0,1,0.6666666666666666
186,0.6666666666666666,0.3333333333333333,1,1,1.0,1,0.6666666666666666
187,1.0,1.0,1,1,1.0,1,0.3333333333333333
188,0.3333333333333333,0.3333333333333333,0,0,0.0,1,0.6666666666666666
189,0.0,0.0,0,0,1.0,1,0.6666666666666666
190,1.0,1.0,0,1,1.0,1,0.3333333333333333
191,1.0,1.0,0,1,1.0,1,1.0
192,0.6666666666666666,0.6666666666666666,1,1,1.0,1,1.0
193,0.3333333333333333,0.6666666666666666,1,1,1.0,1,1.0
194,1.0,0.6666666666666666,0,1,1.0,1,1.0
195,0.6666666666666666,0.6666666666666666,0,1,1.0,1,0.6666666666666666
196,0.6666666666666666,0.6666666666666666,0,1,1.0,1,0.3333333333333333
197,1.0,0.6666666666666666,1,1,1.0,1,0.6666666666666666
198,1.0,1.0,1,1,1.0,0,0.3333333333333333
199,0.3333333333333333,0.6666666666666666,0,0,1.0,0,0.3333333333333333
200,1.0,1.0,1,1,1.0,1,0.3333333333333333
201,0.6666666666666666,0.6666666666666666,0,1,1.0,1,1.0
202,0.6666666666666666,0.3333333333333333,0,0,1.0,1,0.6666666666666666
203,0.6666666666666666,0.3333333333333333,1,0,1.0,1,1.0
204,0.6666666666666666,0.0,1,1,1.0,1,0.3333333333333333
205,0.6666666666666666,0.6666666666666666,0,1,1.0,1,1.0
206,1.0,0.6666666666666666,1,1,1.0,0,1.0
207,1.0,0.0,1,1,1.0,1,0.3333333333333333
208,0.6666666666666666,0.3333333333333333,1,1,1.0,1,1.0
209,1.0,0.3333333333333333,0,1,1.0,1,0.3333333333333333
210,0.6666666666666666,0.3333333333333333,0,0,1.0,1,0.3333333333333333
211,0.6666666666666666,0.3333333333333333,0,1,1.0,1,0.3333333333333333
212,1.0,1.0,1,1,1.0,1,0.3333333333333333
213,0.6666666666666666,0.6666666666666666,1,1,1.0,1,1.0
214,0.0,0.0,1,1,1.0,1,0.3333333333333333
215,0.6666666666666666,0.0,0,1,1.0,1,1.0
216,1.0,0.6666666666666666,0,1,1.0,1,1.0
217,0.6666666666666666,0.3333333333333333,1,1,1.0,1,0.6666666666666666
